park.key,park.name,park.alias,city,state,country
WAS07,American League Park I,,Washington,DC,US
WAS08,American League Park II,,Washington,DC,US
WAS09,Griffith Stadium,,Washington,DC,US
WAS10,Robert F. Kennedy Stadium,D.C. Stadium,Washington,DC,US
WAS11,Nationals Park,,Washington,DC,US
WAT01,Troy Ball Club Grounds,,Watervliet,NY,US
WAV01,Waverly Fairgrounds,,Waverly,NJ,US
WEE01,Monitor Grounds,,Weehawken,NJ,US
WHE01,Island Grounds,,Wheeling,WV,US
WIL01,Union Street Park,,Wilmington,DE,US
WNY01,West New York Field Club Grounds,,West New York,NJ,US
WOR01,Agricultural County Fair Grounds I,,Worcester,MA,US
WOR02,Agricultural County Fair Grounds II,,Worcester,MA,US
WOR03,Worcester Driving Park Grounds,,Worcester,MA,US
