schoolID,name_full,city,state,country
augsburgmn,Augsburg College,Minneapolis,MN,USA
austincol,Austin College,Sherman,TX,USA
austinpeay,Austin Peay State University,Clarksville,TN,USA
azcentr,Central Arizona College,Coolidge,AZ,USA
azchand,Chandler-Gilbert Community College,Chandler,AZ,USA
azcochi,Cochise Community College,Douglas,AZ,USA
azmescc,Mesa Community College,Mesa,AZ,USA
azphoen,Phoenix College,Phoenix,AZ,USA
azpimcc,Pima Community College,Tucson,AZ,USA
azscott,Scottsdale Community College,Scottsdale,AZ,USA
azsouth,South Mountain Community College,Phoenix,AZ,USA
azusapac,Azusa Pacific University,Azusa,CA,USA
azweste,Arizona Western College,Yuma,AZ,USA
azyavap,Yavapai College,Prescott,AZ,USA
baconeok,Bacone College,Muskogee,OK,USA
bakerks,Baker University,Baldwin City,KS,USA
baldwalloh,Baldwin-Wallace College,Berea,OH,USA
ballst,Ball State University,Muncie,IN,USA
bartonnc,Barton College,Wilson,NC,USA
baruchcuny,Bernard M Baruch College,New York,NY,USA
batesme,Bates College,Lewiston,ME,USA
baylor,Baylor University,Waco,TX,USA
belmont,Belmont University,Nashville,TN,USA
belmontab,Belmont Abbey College,Belmont,NC,USA
beloitwi,Beloit College,Beloit,WI,USA
benedctnks,Benedictine College,Atchison,KS,USA
bethanywv,Bethany College,Bethany,WV,USA
bethcook,Bethune-Cookman College,Daytona Beach,FL,USA
betheltn,Bethel College,McKenzie,TN,USA
biolaca,Biola University,La Mirada,CA,USA
birmsouth,Birmingham-Southern College,Birmingham,AL,USA
blackbrnil,Blackburn College,Carlinville,IL,USA
bloomsburg,Bloomsburg University of Pennsylvania,Bloomsburg,PA,USA
bluefield,Bluefield College,Bluefield,VA,USA
boisest,Boise State University,Boise,ID,USA
bostoncoll,Boston College,Chestnut Hill,MA,USA
bostonuniv,Boston University,Boston,MA,USA
bowdoinme,Bowdoin College,Brunswick,ME,USA
bowlgreen,Bowling Green State University,Bowling Green,OH,USA
bradley,Bradley University,Peoria,IL,USA
brandeisma,Brandeis University,Waltham,MA,USA
brdgwatrva,Bridgewater College,Bridgewater,VA,USA
brewparker,Brewton-Parker College,Mount Vernon,GA,USA
bridgeport,University of Bridgeport,Bridgeport,CT,USA
bridgwtrst,Bridgewater State College,Bridgewater,MA,USA
brklyncuny,"Brooklyn College, The City University of New York",Brooklyn,NY,USA
brown,Brown University,Providence,RI,USA
bryant,Bryant College,Smithfield,RI,USA
bucknell,Bucknell University,Lewisburg,PA,USA
buenavista,Buena Vista University,Storm Lake,IA,USA
buffalost,Buffalo State College,Buffalo,NY,USA
butler,Butler University,Indianapolis,IN,USA
byu,Brigham Young University,Provo,UT,USA
caallan,Allan Hancock College,Santa Maria,CA,USA
caameri,American River College,Sacramento,CA,USA
caantel,Antelope Valley College,Lancaster,CA,USA
cabakjc,Bakersfield College,Bakersfield,CA,USA
cabarst,Barstow Community College,Barstow,CA,USA
cabutte,Butte College,Oroville,CA,USA
cacabri,Cabrillo College,Aptos,CA,USA
cacanad,Canada College,Redwood City,CA,USA
cacanyo,College of the Canyons,Santa Clarita,CA,USA
cacerri,Cerritos College,Norwalk,CA,USA
cachabo,Chabot College,Hayward,CA,USA
cachaff,Chaffey College,Rancho Cucamonga,CA,USA
cacitru,Citrus College,Glendora,CA,USA
cacompt,Compton Community College,Compton,CA,USA
cacontr,Contra Costa College,San Pablo,CA,USA
cacosum,Cosumnes River College,Sacramento,CA,USA
cacsmat,College of San Mateo,San Mateo,CA,USA
cacuest,Cuesta College,San Luis Obispo,CA,USA
cacypre,Cypress College,Cypress,CA,USA
cadeanz,DeAnza College,Cupertino,CA,USA
cadiabl,Diablo Valley College,Pleasant Hill,CA,USA
caelajc,East Los Angeles College,Monterey Park,CA,USA
caelcam,El Camino College,Torrance,CA,USA
cafeath,Feather River College,Quincy,CA,USA
cafooth,Foothill College,Los Altos Hills,CA,USA
cafrecc,Fresno City College,Fresno,CA,USA
cafrepa,Fresno Pacific University,Fresno,CA,USA
cafulle,Fullerton College,Fullerton,CA,USA
cagavil,Gavilan College,Gilroy,CA,USA
caglend,Glendale Community College,Glendale,CA,USA
cagolde,Golden West College,Huntington Beach,CA,USA
caharbo,Los Angeles Harbor College,Wilmington,CA,USA
cahartn,Hartnell College,Salinas,CA,USA
caimper,Imperial Valley College,Imperial,CA,USA
calacco,Los Angeles City College,Los Angeles,CA,USA
calamjc,Los Angeles Mission College,Sylmar,CA,USA
calaney,Laney College,Oakland,CA,USA
calasse,Lassen College,Susanville,CA,USA
calavco,Los Angeles Valley College,Los Angeles,CA,USA
california,"University of California, Berkeley",Berkeley,CA,USA
calipa,California University of Pennsylvania,California,PA,USA
calobcc,Long Beach City College,Long Beach,CA,USA
calpoly,"California Polytechnic State University, San Luis Obispo",San Luis Obispo,CA,USA
calpolypom,"California Polytechnic State University, Pomona",Pomona,CA,USA
calstfull,California State University Fullerton,Fullerton,CA,USA
calstla,California State University Los Angeles,Los Angeles,CA,USA
calstnorth,California State University Northridge,Los Angeles,CA,USA
calutheran,California Lutheran University,Thousand Oaks,CA,USA
camarin,College of Marin,Kentfield,CA,USA
camendo,Mendocino College,Ukiah,CA,USA
camenlo,Menlo College,Atherton,CA,USA
camerce,Merced College,Merced,CA,USA
cameronok,Cameron University,Lawton,OK,USA
camerri,Merritt College,Oakland,CA,USA
camirac,MiraCosta College,Oceanside,CA,USA
camissi,Mission College,Santa Clara,CA,USA
camodes,Modesto Junior College,Modesto,CA,USA
camoorp,Moorpark College,Moorpark,CA,USA
campbell,Campbell University,Buies Creek,NC,USA
campjco,Monterey Peninsula College,Monterey,CA,USA
camsajc,Mount San Antonio College,Walnut,CA,USA
camsjjc,Mount San Jacinto College,San Jacinto,CA,USA
canapav,Napa Valley College,Napa,CA,USA
canisius,Canisius College,Buffalo,NY,USA
caorang,Orange Coast College,Costa Mesa,CA,USA
capalom,Palomar College,San Marcos,CA,USA
capasad,Pasadena City College,Pasadena,CA,USA
capierc,Los Angeles Pierce College,Woodland Hills,CA,USA
caporte,Porterville College,Porterville,CA,USA
caranch,Rancho Santiago College,Santa Ana,CA,USA
caredwo,College of the Redwoods,Eureka,CA,USA
careedl,Reedley College,Reedley,CA,USA
carioho,Rio Hondo College,Whittier,CA,USA
carivcc,Riverside Community College,Riverside,CA,USA
carkansas,University of Central Arkansas,Conway,AR,USA
carsnewm,Carson-Newman College,Jefferson City,TN,USA
carthagewi,Carthage College,Kenosha,WI,USA
casacra,Sacramento City College,Sacramento,CA,USA
casaddl,Saddleback College,Mission Viejo,CA,USA
casajco,Santa Ana College,Santa Ana,CA,USA
casanbe,California State University San Bernardino,San Bernardino,CA,USA
casbcco,Santa Barbara City College,Santa Barbara,CA,USA
casbvjc,San Bernardino Valley College,San Bernardino,CA,USA
casdmjc,San Diego Mesa College,San Diego,CA,USA
casequo,College of the Sequoias,Visalia,CA,USA
casewestrn,Case Western Reserve University,Cleveland,OH,USA
casfcco,City College of San Francisco,San Francisco,CA,USA
cashast,Shasta College,Redding,CA,USA
casierr,Sierra College,Rocklin,CA,USA
casiski,College of the Siskiyous,Weed,CA,USA
casjcco,San Jose City College,San Jose,CA,USA
casjdjc,San Joaquin Delta College,Stockton,CA,USA
caskyli,Skyline JC,San Bruno,CA,USA
casmjco,Santa Monica College,Santa Monica,CA,USA
casolan,Solano Community College,Fairfield,CA,USA
casrjco,Santa Rosa Junior College,Santa Rosa,CA,USA
caswjco,Southwestern College,Chula Vista,CA,USA
catafjc,Taft College,Taft,CA,USA
catawba,Catawba College,Salisbury,NC,USA
catholic,Catholic University of America,Washington,DC,USA
caventu,Ventura College,Ventura,CA,USA
cawhjco,West Hills College,Coalinga,CA,USA
cawlajc,West Los Angeles College,Culver City,CA,USA
cawvjco,West Valley College,Saratoga,CA,USA
cconnst,Central Connecticut State University,New Britain,CT,USA
ccri,Community College of Rhode Island,Warwick,RI,USA
centenary,Centenary College of Louisiana,Shreveport,LA,USA
centok,University of Central Oklahoma,Edmond,OK,USA
centralst,Central State University,Wilberforce,OH,USA
centreky,Centre College,Danville,KY,USA
cflorida,University of Central Florida,Orlando,FL,USA
chapmanca,Chapman University,Orange,CA,USA
charleston,College of Charleston,Charleston,SC,USA
charleswv,University of Charleston,Charleston,WV,USA
charlotte,University of North Carolina at Charlotte,Charlotte,NC,USA
charlsouth,Charleston Southern University,Charleston,SC,USA
chicago,University of Chicago,Chicago,IL,USA
chicagost,Chicago State University,Chicago,IL,USA
chicost,California State University Chico,Chico,CA,USA
cincy,University of Cincinnati,Cincinnati,OH,USA
citadel,The Citadel,Charleston,SC,USA
clarion,Clarion University of Pennsylvania,Clarion,PA,USA
clarksonny,Clarkson University,Potsdam,NY,USA
clemson,Clemson University,Clemson,SC,USA
clevst,Cleveland State University,Cleveland,OH,USA
clrmuddscr,Claremont McKenna College,Claremont,CA,USA
cmichigan,Central Michigan University,Mount Pleasant,MI,USA
cmissouri,University of Central Missouri,Warrensburg,MO,USA
cncrdiacol,Concordia College-Moorhead,Moorhead,MN,USA
coastcar,Coastal Carolina University,Conway,SC,USA
coftlew,Fort Lewis College,Durango,CO,USA
colamar,Lamar Community College,Lamar,CO,USA
colbyme,Colby College,Waterville,ME,USA
colgate,Colgate University,Hamilton,NY,USA
colocollege,Colorado College,Colorado Springs,CO,USA
colorado,University of Colorado,Boulder,CO,USA
coloradost,Colorado State University,Fort Collins,CO,USA
columbia,Columbia University,New York,NY,USA
comines,Colorado School of Mines,Golden,CO,USA
concordny,Concordia College-Bronxville,Bronxville,NY,USA
concrdiamn,Concordia University-St. Paul,St. Paul,MN,USA
concrdiatx,Concordia University at Austin,Austin,TX,USA
cornell,Cornell University,Ithaca,NY,USA
cornellia,Cornell College,Mount Vernon,IA,USA
costpue,Colorado State University-Pueblo,Pueblo,CO,USA
cotrini,Trinidad State Junior College,Trinidad,CO,USA
crdstritch,Cardinal Stritch University,Milwaukee,WI,USA
creighton,Creighton University,Omaha,NE,USA
crngmellon,Carnegie Mellon University,Pittsburgh,PA,USA
csdomhills,California State University Dominguez Hills,Carson,CA,USA
cshayward,California State University East Bay,Hayward,CA,USA
csstanisl,California State University Stanislaus,Turlock,CA,USA
ctconap,University of Connecticut at Avery Point,Groton,CT,USA
ctmitch,Mitchell College,New London,CT,USA
ctnorwa,Norwalk Community College,Norwalk,CT,USA
cumbrlndtn,Cumberland University,Lebanon,TN,USA
cwashngton,Central Washington University,Ellensburg,WA,USA
cwpost,"Long Island University, C W Post Campus",Brookville,NY,USA
dallasbapt,Dallas Baptist University,Dallas,TX,USA
dartmouth,Dartmouth College,Hanover,NH,USA
davidson,Davidson College,Davidson,NC,USA
daviselkins,Davis and Elkins College,Elkins,WV,USA
dayton,University of Dayton,Dayton,OH,USA
dcbenfr,Benjamin Franklin University,Washington,DC,USA
debrand,Brandywine Junior College,Wilmington,DE,USA
dedelaw,Delaware Technical and Community College,Dover,DE,USA
delaware,University of Delaware,Newark,DE,USA
delawarest,Delaware State University,Dover,DE,USA
deltast,Delta State University,Cleveland,MS,USA
denisonoh,Denison University,Granville,OH,USA
denver,University of Denver,Denver,CO,USA
depaul,DePaul University,Chicago,IL,USA
depauwin,DePauw University,Greencastle,IN,USA
detroit,University of Detroit Mercy,Detroit,MI,USA
dickinson,Dickinson College,Carlisle,PA,USA
dominican,Dominican College,Orangeburg,NY,USA
drake,Drake University,Des Moines,IA,USA
dubuque,University of Dubuque,Dubuque,IA,USA
duke,Duke University,Durham,NC,USA
duquesne,Duquesne University,Pittsburgh,PA,USA
ecarolina,East Carolina University,Greenville,NC,USA
ecentralok,East Central University,Ada,OK,USA
eckerd,Eckerd College,St. Petersburg,FL,USA
econnst,Eastern Connecticut State University,Willimantic,CT,USA
edinboro,Edinboro University of Pennsylvania,Edinboro,PA,USA
eillinois,Eastern Illinois University,Charleston,IL,USA
ekentucky,Eastern Kentucky University,Richmond,KY,USA
elizbthtwn,Elizabethtown College,Elizabethtown,PA,USA
elon,Elon University,Elon,NC,USA
emichigan,Eastern Michigan University,Ypsilanti,MI,USA
emoryga,Emory University,Atlanta,GA,USA
emoryhenry,Emory and Henry College,Emory,VA,USA
emporiast,Emporia State University,Emporia,KS,USA
erskine,Erskine College,Due West,SC,USA
estroud,East Stroudsburg University of Pennsylvania,East Stroudsburg,PA,USA
etennst,East Tennessee State University,Johnson City,TN,USA
etxbaptist,East Texas Baptist University,Marshall,TX,USA
eurekail,Eureka College,Eureka,IL,USA
eutah,College of Eastern Utah,Price,UT,USA
evansville,University of Evansville,Evansville,IN,USA
fairfield,Fairfield University,Fairfield,CT,USA
fairldick,"Fairleigh Dickinson University, Metropolitan Campus",Teaneck,NJ,USA
fayetvilst,Fayetteville State University,Fayetteville,NC,USA
ferrisst,Ferris State University,Big Rapids,MI,USA
ferrumva,Ferrum College,Ferrum,VA,USA
flagler,Flagler College,St. Augustine,FL,USA
flatlantic,Florida Atlantic University,Boca Raton,FL,USA
flbarry,Barry University,Miami Shores,FL,USA
flbreva,Brevard Community College,Cocoa,FL,USA
flbrowa,Broward Community College,Fort Lauderdale,FL,USA
flcentr,Central Florida Community College,Ocala,FL,USA
flchipo,Chipola College,Marianna,FL,USA
fldayto,Daytona Beach Community College,Daytona Beach,FL,USA
flediso,Edison College,Fort Myers,FL,USA
flflajc,Florida College,Jacksonville,FL,USA
flgateway,Florida Gateway College,Lake City,FL,USA
flgccco,Gulf Coast Community College,Panama City,FL,USA
flgulfc,Florida Gulf Coast University,Fort Myers,FL,USA
flhills,Hillsborough Community College,Tampa,FL,USA
flindia,Indian River Community College,Fort Pierce,FL,USA
flinternat,Florida International University,Miami,FL,USA
fllynnu,Lynn University,Boca Raton,FL,USA
flmanat,"State College of Florida, Manatee-Sarasota",Bradenton,FL,USA
flmdkjc,"Miami-Dade College, Kendall Campus",Miami,FL,USA
flmdnjc,"Miami-Dade College, North Campus",Miami,FL,USA
flmdwjc,"Miami-Dade College, Wolfson Campus",Miami,FL,USA
flnfcco,North Florida Community College,Madison,FL,USA
flnovas,Nova Southeastern University,Fort Lauderdale,FL,USA
flnwfsc,Northwest Florida State College,Niceville,FL,USA
flokalo,Okaloosa-Walton College,Niceville,FL,USA
florida,University of Florida,Gainesville,FL,USA
floridaam,Florida Agricultural and Mechanical University,Tallahassee,FL,USA
floridast,Florida State University,Tallahassee,FL,USA
flpalme,Palmer College,DeFuniak Springs,FL,USA
flpasco,Pasco-Hernando Community College,New Port Richey,FL,USA
flpbaun,Palm Beach Atlantic University,West Palm Beach,FL,USA
flpensa,Pensacola Junior College,Pensacola,FL,USA
flpolkc,Polk Community College,Winter Haven,FL,USA
flsanta,Santa Fe Community College,Gainesville,FL,USA
flsjrcc,St. Johns River Community College,Palatka,FL,USA
flsouthern,Florida Southern College,Lakeland,FL,USA
flstpet,St. Petersburg College,St. Petersburg,FL,USA
fltalla,Tallahassee Community College,Tallahassee,FL,USA
fltech,Florida Institute of Technology,Melbourne,FL,USA
flvalen,Valencia Community College,Orlando,FL,USA
fordham,Fordham University,New York,NY,USA
forthays,Fort Hays State University,Hays,KS,USA
franklinin,Franklin College,Franklin,IN,USA
frankmarsh,Franklin and Marshall College,Lancaster,PA,USA
freedhrdmn,Freed-Hardeman University,Henderson,TN,USA
fresnost,California State University Fresno,Fresno,CA,USA
friendsks,Friends University,Wichita,KS,USA
furman,Furman University,Greenville,SC,USA
gaberry,Berry College,Mount Berry,GA,USA
gacoast,Coastal Georgia Community College,Brunswick,GA,USA
gacollege,Georgia College and State University,Milledgeville,GA,USA
gacolum,Columbus State University,Columbus,GA,USA
gagpjco,Georgia Perimeter College,Covington,GA,USA
gallaudet,Gallaudet University,Washington,DC,USA
gamiddl,Middle Georgia College,Cochran,GA,USA
gannon,Gannon University,Erie,PA,USA
gardwebb,Gardner-Webb University,Boiling Springs,NC,USA
gasgajc,South Georgia College,Douglas,GA,USA
gaswestern,Georgia Southwestern State University,Americus,GA,USA
gatech,Georgia Institute of Technology,Atlanta,GA,USA
genevapa,Geneva College,Beaver Falls,PA,USA
georgefox,George Fox University,Newberg,OR,USA
georgemas,George Mason University,Fairfax,VA,USA
georgetown,Georgetown University,Washington,DC,USA
georgewash,George Washington University,Washington,DC,USA
georgia,University of Georgia,Athens,GA,USA
georgiasou,Georgia Southern University,Statesboro,GA,USA
georgiast,Georgia State University,Atlanta,GA,USA
georgtwnky,Georgetown College,Georgetown,KY,USA
gettysburg,Gettysburg College,Gettysburg,PA,USA
glenvilst,Glenville State College,Glenville,WV,USA
gonzaga,Gonzaga University,Spokane,WA,USA
grambling,Grambling State University,Grambling,LA,USA
grandview,Grand View College,Des Moines,IA,USA
grcanyon,Grand Canyon University,Phoenix,AZ,USA
grinnellia,Grinnell College,Grinnell,IA,USA
grossmont,Grossmont College,El Cajon,CA,USA
grovecity,Grove City College,Grove City,PA,USA
grvalleyst,Grand Valley State University,Allendale,MI,USA
guilfordnc,Guilford College,Greensboro,NC,USA
hamlinemn,Hamline University,St. Paul,MN,USA
hampsydney,Hampden-Sydney College,Hampden-Sydney,VA,USA
harding,Harding University,Searcy,AR,USA
hardinsimm,Hardin-Simmons University,Abilene,TX,USA
hartford,University of Hartford,West Hartford,CT,USA
hartwickny,Hartwick College,Oneonta,NY,USA
harvard,Harvard University,Cambridge,MA,USA
haskellks,Haskell Indian Nations University,Lawrence,KS,USA
hawaii,University of Hawaii at Manoa,Honolulu,HI,USA
hawaiihilo,University of Hawaii at Hilo,Hilo,HI,USA
hawaiipac,Hawaii Pacific University,Honolulu,HI,USA
heidelberg,Heidelberg College,Tiffin,OH,USA
hendrixar,Hendrix College,Conway,AR,USA
hendrsonst,Henderson State University,Arkadelphia,AR,USA
highpoint,High Point University,High Point,NC,USA
hillsdale,Hillsdale College,Hillsdale,MI,USA
hiramoh,Hiram College,Hiram,OH,USA
hobartny,Hobart and William Smith Colleges,Geneva,NY,USA
hofstra,Hofstra University,Hempstead,NY,USA
holycross,College of the Holy Cross,Worcester,MA,USA
hopemi,Hope College,Holland,MI,USA
houstnbapt,Houston Baptist University,Houston,TX,USA
houston,University of Houston,Houston,TX,USA
howard,Howard University,Washington,DC,USA
howrdpayne,Howard Payne University,Brownwood,TX,USA
humboldtst,Humboldt State University,Arcata,CA,USA
huntercuny,"Hunter College, The City University of New York",New York,NY,USA
iadesmo,Des Moines University,Des Moines,IA,USA
iadmacc,Des Moines Area Community College,Boone,IA,USA
iaellsw,Ellsworth College,Iowa Falls,IA,USA
iahighl,Highland Park College,Des Moines,IA,USA
iaindia,Indian Hills Community College,Centerville,IA,USA
iakirkw,Kirkwood Community College,Cedar Rapids,IA,USA
iaparso,Parsons College,Fairfield,IA,USA
iaseccs,"Southeastern Iowa Community College, Keokuk Campus",Keokuk,IA,USA
iasimps,Simpson College,Indianola,IA,USA
iawescc,Iowa Western Community College,Council Bluffs,IA,USA
iawesleyan,Iowa Wesleyan College,Mount Pleasant,IA,USA
idaho,University of Idaho,Moscow,ID,USA
idahost,Idaho State University,Pocatello,ID,USA
idbyuid,Brigham Young University-Idaho,Rexburg,ID,USA
idcosid,College of Southern Idaho,Twin Falls,ID,USA
idnidjc,North Idaho College,Coeur d'Alene,ID,USA
ilaugus,Augustana College,Rock Island,IL,USA
ilcenjc,Illinois Central College,East Peoria,IL,USA
ilcollege,Illinois College,Jacksonville,IL,USA
ildixon,Dixon College,Dixon,IL,USA
ildupag,College of DuPage,Glen Ellyn,IL,USA
ilelmhu,Elmhurst College,Elmhurst,IL,USA
ilharpe,William Rainey Harper College,Palatine,IL,USA
ilkanka,Kankakee Community College,Kankakee,IL,USA
ilkaska,Kaskaskia College,Arcola,IL,USA
ilkenne,Kennedy-King College,Chicago,IL,USA
ilkishw,Kishwaukee College,Malta,IL,USA
illakel,Lake Land College,Mattoon,IL,USA
illchicago,University of Illinois at Chicago,Chicago,IL,USA
illewis,Lewis & Clark Community College,Godfrey,IL,USA
illinco,Lincoln College,Lincoln,IL,USA
illinois,University of Illinois at Urbana-Champaign,Champaign,IL,USA
illinoisst,Illinois State University,Normal,IL,USA
illogan,John A Logan College,Carterville,IL,USA
illomba,Lombard College,Galesburg,IL,USA
illtjco,Lincoln Trail College,Robinson,IL,USA
ilmcken,McKendree University,Lebanon,IL,USA
ilmorai,Moraine Valley Community College,Palos Hills,IL,USA
ilmount,Mount Morris College,Mount Morris,IL,USA
ilolney,Olney Central College,Olney,IL,USA
ilparkl,Parkland College,Champaign,IL,USA
ilseijc,Southeastern Illinois College,Harrisburg,IL,USA
ilshurt,Shurtleff College,Alton,IL,USA
ilssjco,South Suburban College,South Holland,IL,USA
ilstvia,St. Viator College,Bourbonnais,IL,USA
ilsvcco,Sauk Valley Community College,Dixon,IL,USA
ilswijc,Southwestern Illinois College,Belleville,IL,USA
iltrito,Triton College,River Grove,IL,USA
iltruma,Harry S Truman College,Chicago,IL,USA
ilwabas,Wabash Valley College,Mount Carmel,IL,USA
ilwesleyan,Illinois Wesleyan University,Bloomington,IL,USA
ilwrigh,Wilbur Wright College,Chicago,IL,USA
inander,Anderson University,Anderson,IN,USA
inbethel,Bethel College,Mishawaka,IN,USA
incante,Canterbury College,Danville,IN,USA
inconco,Concordia Theological Seminary,Fort Wayne,IN,USA
indiana,Indiana University-Bloomington,Bloomington,IN,USA
indianapa,Indiana University of Pennsylvania,Indiana,PA,USA
indianast,Indiana State University,Terre Haute,IN,USA
indpolis,University of Indianapolis,Indianapolis,IN,USA
inhanov,Hanover College,Hanover,IN,USA
inindwe,Indiana Wesleyan University,Marion,IN,USA
inintec,Indiana Institute of Technology,Fort Wayne,IN,USA
invince,Vincennes University,Vincennes,IN,USA
iona,Iona College,New Rochelle,NY,USA
iowa,University of Iowa,Iowa City,IA,USA
iowast,Iowa State University,Ames,IA,USA
ithacany,Ithaca College,Ithaca,NY,USA
jacksonst,Jackson State University,Jackson,MS,USA
jacksonvil,Jacksonville University,Jacksonville,FL,USA
jamesmad,James Madison University,Harrisonburg,VA,USA
jksonvilst,Jacksonville State University,Jacksonville,AL,USA
johnbrwnar,John Brown University,Siloam Springs,AR,USA
johnshpkns,Johns Hopkins University,Baltimore,MD,USA
juniatapa,Juniata College,Huntingdon,PA,USA
kalamazoo,Kalamazoo College,Kalamazoo,MI,USA
kansas,University of Kansas,Lawrence,KS,USA
kansasst,Kansas State University,Manhattan,KS,USA
keenest,Keene State College,Keene,NH,USA
kennesawst,Kennesaw State University,Kennesaw,GA,USA
kentst,Kent State University,Kent,OH,USA
kentucky,University of Kentucky,Lexington,KY,USA
kentuckyst,Kentucky State University,Frankfort,KY,USA
kenyonoh,Kenyon College,Gambier,OH,USA
knoxil,Knox College,Galesburg,IL,USA
ksbarto,Barton County Community College,Great Bend,KS,USA
ksbutle,Butler County Community College,El Dorado,KS,USA
kscloud,Cloud County Community College,Concordia,KS,USA
kscowle,Cowley County Community College,Arkansas City,KS,USA
ksftsco,Fort Scott Community College,Fort Scott,KS,USA
ksgarde,Garden City Community College,Garden City,KS,USA
kshutch,Hutchinson Community College,Hutchinson,KS,USA
ksindep,Independence Community College,Independence,KS,USA
ksjohns,Johnson County Community College,Overland Park,KS,USA
kskccco,Kansas City Kansas Community College,Kansas City,KS,USA
kslabet,Labette Community College,Parsons,KS,USA
ksneosh,Neosho County Community College,Chanute,KS,USA
kspratt,Pratt Community College,Pratt,KS,USA
ksstmaC,St. Mary's College,St. Mary's,KS,USA
kutztown,Kutztown University of Pennsylvania,Kutztown,PA,USA
kybella,Bellarmine College,Louisville,KY,USA
kysomer,Somerset Community College,Somerset,KY,USA
kystcat,St. Catherine College,St. Catherine,KY,USA
kywesleyan,Kentucky Wesleyan College,Owensboro,KY,USA
kywkycc,West Kentucky Community and Technical College,Paducah,KY,USA
labossi,Bossier Parish Community College,Bossier City,LA,USA
lacollege,Louisiana College,Pineville,LA,USA
ladelga,Delgado Community College,New Orleans,LA,USA
lafayette,Lafayette College,Easton,PA,USA
lakeforest,Lake Forest College,Lake Forest,IL,USA
lamar,Lamar University,Beaumont,TX,USA
lambuthtn,Lambuth University,Jackson,TN,USA
lanecol,Lane College,Jackson,TN,USA
lasalle,LaSalle University,Philadelphia,PA,USA
latech,Louisiana Tech University,Ruston,LA,USA
laverneca,University of La Verne,La Verne,CA,USA
lebvalley,Lebanon Valley College,Annville,PA,USA
lee,Lee University,Cleveland,TN,USA
lehigh,Lehigh University,Bethlehem,PA,USA
lemoyne,LeMoyne College,Syracuse,NY,USA
lemoynowen,LeMoyne-Owen College,Memphis,TN,USA
lenoirrhyn,Lenoir-Rhyne College,Hickory,NC,USA
lewclarkor,Lewis and Clark College,Portland,OR,USA
lewclarkst,Lewis-Clark State College,Lewiston,ID,USA
lewisil,Lewis University,Romeoville,IL,USA
liberty,Liberty University,Lynchburg,VA,USA
lincolnlandcc,Lincoln Land Community College,Springfield,IL,USA
lincolnmem,Lincoln Memorial University,Harrogate,TN,USA
lincolnmo,Lincoln University,Jefferson City,MO,USA
linfieldor,Linfield College,McMinnville,OR,USA
lipscomb,Lipscomb University,Nashville,TN,USA
lockhaven,Lock Haven University of Pennsylvania,Lock Haven,PA,USA
