Date,Location,Cost (millions 2013US$),INES,Smyth Magnitude,Region,Description,Fatalities
10/5/1966,"Newport, Michigan, United States",793.9,4,,NA,"Fermi 1, a prototype fast breeder reactor, suffered a partial fuel meltdown",0
12/21/1972,"Pawling, NY, USA",788.4,4,,NA,"Tube repairs lead to a loss of coolant accident, causing a year long outage",0
12/26/1985,"Clay Station, California, United States",776.8,,,NA,Safety and control systems failed at Rancho Seco nuclear reactor and led to the premature closure of the plant.,0
4/19/2005,"Seascale, United Kingdom",599.2,3,,WE,20 metric tons of uranium and 160 kilograms of plutonium leaked for more than a year from a cracked pipe at the Thermal Oxide Reprocessing (Thorp) plant in Sellafield.,0
10/17/1969,"Saint-Laurent, France",541.4,4,,WE,More than 50 kilograms of uranium fuel at the Saint-Laurent Nuclear Power Plant began to melt after cooling systems failed and forced shutdown and repairs.,0
12/7/1975,"Greifswald, East Germany",511.5,3,,EE,Electrical error caused fire in the main trough that destroyed control lines and 5 main coolant pumps.,0
5/22/1986,"Delta, Pennsylvania, United States",462.2,,,NA,Philadelphia Electric Company shut down Peach Bottom units 2 and 3 due to cooling malfunctions and unexplained equipment problems.,0
9/2/1996,"Crystal River, Florida, United States",444.1,,,NA,Balance-of-plant equipment malfunction forced Florida Power Corporation to shut down Crystal River Unit 3 and make extensive repairs.,0
5/11/1969,"Rocky Flats, USA",425.2,4,2.3,NA,"Plutonium fire broke out in the processing section of Building 776, gave 41 firefighters high radiation doses",0
5/4/1987,"Kalpakkam, India",346.7,,,A,"Fast Breeder Test Reactor at Kalpakkam shut down due to pump failures, faulty instrument signals, and turbine malfunctions that led to rupture of reactor core.",0
2/2/1995,"Kota, Rajasthan, India",323.1,,,A,The Rajasthan Atomic Power Station leaked radioactive helium and heavy water into the Rana Pratap Sagar River requiring a two year shutdown.,0
5/4/1986,"Hamm-Uentrop, Germany",308.2,,,WE,Operator actions to dislodge damaged fuel rod at Experimental High Temperature Gas Reactor released excessive radiation to 4 square kilometers around facility.,0
2/20/1996,"Waterford, Connecticut, United States",293.2,,,NA,Leaking valve forced Northeast Utilities Company to shut down Millstone Units 1 and 2.,0
3/22/1975,"Browns Ferry, Alabama, United States",277.1,,,NA,"Fire burned for seven hours and damaged more than 1,600 control cables for three nuclear reactors, disabling core cooling systems.",0
3/31/1993,"Bulandshahr, Uttar Pradesh, India",254.7,,,A,The Narora Atomic Power Station suffered a fire at two of its steam turbine blades that damaged two heavy water reactors and almost led to a meltdown.,0
7/4/2009,"Hamburg, Germany",242.9,,,WE,A short circuit in a transformer caused fuel rod damage and an extended shutdown at Vattenfall’s Krümmel nuclear plant.,0
12/15/1971,"Sellafield, UK",180,3,3.2,WE,An abnormal discharge took place from the Building B203 plutonium recovery plant of about 7.4 GBq Pu,0
12/19/1987,"Lycoming, New York, United States",173.3,,,NA,"Fuel rod, waste storage, and water pumping malfunctions forced Niagara Mohawk Power Corporation to shut down Nine Mile Point Unit 1.",0
2/16/2002,"Oak Harbor, Ohio, United States",164.8,,,NA,Severe corrosion of control rod forced 24 month outage of Davis-Besse reactor.,0
3/10/1970,"Sellafield, UK",150,3,2.6,WE,Abnormal discharge of about 1.8 GBq Pu via the Building B230 stack,0
3/17/1989,"Lusby, Maryland, United States",139.1,,,NA,Baltimore Gas & Electric’s Calvert Cliff Units 1 and 2 inspections revealed cracks at pressurized heater sleeves and forced extended shutdown.,0
3/13/1980,"Saint-Laurent, France",133.4,4,,WE,"Partial core meltdown involving 20 kg of uranium, repairs take years",0
9/15/1984,"Athens, Alabama, United States",127.3,,,NA,"Safety violations, operator error, and design problems forced 6 year outage at Browns Ferry Unit 2.",0
8/27/2009,"St. Petersburg, Russia",127.3,,,EE,A cracked discharge accumulator and malfunctioning feed pump forced the Leningrad Nuclear Power Plant reactor number 3 to close for extended repairs.,0
1/21/2002,"Manche, France",117.7,1,,WE,Control systems and safety valves failed after improper installation of condensers and forced a two month shutdown.,0
3/6/2006,"Erwin, Tennessee, United States",113.4,2,,NA,Nuclear fuel services plant spilled 35 litres of highly enriched uranium that required 7 month shutdown.,0
1/21/2002,"Flamanville, France",104,,,WE,"Control systems and safety valves fail after improper installation of condensers, forcing a two month shutdown",0
2/10/1970,"Sellafield, UK",100,3,2,WE,Abnormal discharge of Pu via the Building B230 stack,0
11/29/1970,"Sellafield, UK",100,3,2.5,WE,An abnormal discharge of about 1.6 GBq Pu took place via the Building B230 stack,0
11/30/1975,"Leningrad, Russia",99.5,4,,EE,"A fuel channel in Unit 1 suffered a loss of coolant, resulting in the degradation of a nuclear fuel assembly that led to a significant release of radiation lasting for one month",0
12/6/1972,"Sellafield, UK",98,3,1.6,WE,Inadvertent processing of fuel elements from Chapelcross had a high iodine content and release 2.2 TBq,0
10/8/1957,"Windscale, United Kingdom",89.9,5,4.6,WE,"Fire ignited plutonium piles, created radioactive dust which destroyed surrounding dairy farms.",33
9/10/1989,"Tarapur, Maharashtra, India",89.9,,,A,Operators at the Tarapur nuclear power plant discovered the reactor had been leaking radioactive iodine through its cooling structures and discovered radiation levels of iodine-129 more than 700 times normal levels.,0
5/2/1967,"Dumfries and Galloway, Scotland",87.7,4,,WE,Fuel rod caught fire and caused partial meltdown at the Chaplecross Magnox nuclear power station.,0
9/11/1979,"Sellafield, UK",87,4,3.4,WE,There was a release of plutonium to atmosphere during transfer of low radioactive liquid effluent to Building B242,0
3/5/1969,"Sellafield, UK",84.5,3,1.6,WE,"A spillage of 370 MBq Pu in Building B229 laboratory, leads to substantial discharge",0
9/20/1996,"Senaca, Illinois, United States",82.4,,,NA,Service water system failed and prompted Commonwealth Edison to close LaSalle Units 1 and 2 for more than 2 years.,0
5/24/1958,"Chalk River, Ontario, Canada",77,5,,NA,Fuel rod caught fire and contaminated half of facility.,0
12/25/1993,"Newport, Michigan, United States",77,,,NA,Detroit Edison Company forced to shut down Fermi Unit 2 after main turbine experienced catastrophic failure due to improper maintenance.,0
9/23/1983,"Buenos Aires, Argentina",74.9,4,,SA,Operator error during fuel plate reconfiguration caused meltdown in an experimental test reactor.,1
1/14/1995,"Wiscasset, Maine, United States",71.7,,,NA,Steam generator tubes cracked at Maine Yankee nuclear reactor and forced the Maine Yankee Atomic Power Company to shutdown for 1 year.,0
3/25/1982,"Buchanan, New York, United States",64.2,,,NA,Water and coolant leaks caused damage to steam generator tubes and main generator and forced the New York Power Authority to shut down Indian Point Unit 3.,0
12/27/1999,"Blayais, France",63.1,2,,WE,A storm flooded the Blayais-2 nuclear reactor and forced emergency shutdown after injection pumps and containment safety systems failed from water damage.,0
2/26/1983,"Pierce, Florida, United States",62.1,,,NA,Workers discovered damaged thermal shield and core barrel support at St. Lucie Unit 1 which required a 13 month shutdown.,0
9/30/1999,"Ibaraki Prefecture, Japan",62.1,4,,A,"Workers at the Tokaimura uranium processing facility tried to save time by mixing uranium in buckets which killed two and injuring 1,200.",2
8/6/1970,"Lawrence Livermore, CA, USA",60.1,4,3.6,NA,"Accident released about 650,000 curies of tritium as far as 200 miles away",0
4/12/1987,"Triscastin, France",57.8,,,WE,"Areva’s Tricastin fast breeder reactor leaked coolant, sodium, and uranium hexachloride and injured workers and contaminated water supplies.",0
9/22/1980,"Sellafield, UK",55,3,1.6,WE,Enhanced corrosion in the Building B38 magnox storage silo caused discharges to atmosphere of 35–70 GBq,0
12/12/1952,"Chalk River, Ontario, Canada",52.4,,,NA,Hydrogen explosion damaged reactor interior and released 30 kilograms of uranium oxide particles.,0
3/20/1982,"Lycoming, New York, United States",52.4,,,NA,Recirculation system piping failed at Nine Mile Point Unit 1 and forced a 2 year shutdown.,0
7/4/2008,"Fukushima Province, Japan",52.4,,,A,Tokyo Electric Power Company’s No. 2 Kurihara Power Plant damaged by 7.2 magnitude earthquake resulted in cracked reactor cooling towers and spent fuel storage facilities and spilled 19 litres of radioactive wastewater.,0
4/6/1993,"Tomsk, Russia",51.4,4,4.8,EE,Ice condenser containment systems failed at Indiana Michigan Power Company’s D.C. Cook Units 1 and 2.,0
8/23/2011,"Mineral, Virginia, United States",48.2,,,NA,A magnitude 5.8 earthquake damaged Dominion Energy's North Anna Power Station and cracked spent fuel containers and collapsed administrative buildings.,0
6/16/2005,"Braidwood, Illinois, United States",47.1,,,NA,Exelon’s Braidwood nuclear station leaked tritium and contaminated local water supplies.,0
11/1/1983,"Sellafield, UK",44,3,,WE,Inadvertent transfer of 59 TBq activity with solvent and crud took place from Building B205 to a sea tank at Building B242,0
9/5/1996,"Clinton, Illinois, United States",43.9,,,NA,Reactor recirculation pump failed and required Illinois Power Company to shut down Clinton boiling water reactor.,0
4/10/2003,"Paks, Hungary",42.8,3,3.9,EE,Damaged fuel rods hemorrhaged spent fuel pellets and corroded heavy water reactor.,0
8/22/1985,"Soddy-Daisy, Tennessee, United States",40.7,,,NA,Tennessee Valley Authority Sequoyah Units 1 and 2 failed and forced 3 year shutdown; workers also exposed to excessive levels of radiation.,0
9/7/1983,"Athens, Alabama, United States",39.6,,,NA,Tennessee Valley Authority discovered extensive damage to recirculation system pipeline.,0
5/16/1995,"Salem, New Jersey, United States",39.6,,,NA,Ventilation systems failed at Public Service Electric & Gas Company’s Salem Units 1 and 2.,0
6/18/1999,"Shika, Ishikawa, Japan",39.6,2,,A,Control rod malfunction set off uncontrolled nuclear reaction at Shika Nuclear Power Station’s Unit-1.,0
3/4/1960,"Waltz Mill, USA",38,4,,NA,Core melt accident,0
7/26/1959,"Simi Valley, California, United States",37.5,4,,NA,Partial core meltdown at Santa Susana Field Laboratory’s Sodium Reactor Experiment.,0
2/12/1983,"Fork River, New Jersey, United States",37.5,,,NA,Oyster Creek nuclear plant failed safety inspection and was forced to shut down.,0
10/22/2002,"Kalpakkam, India",34.2,,,A,Almost 100 kilograms of radioactive sodium at a fast breeder reactor leaked into a purification cabin and ruined a number of valves and operating systems.,0
8/4/2005,"Indian Point, New York, United States",34.2,,,NA,"Entergy’s Indian Point Nuclear Plant, located on the Hudson River, leaked tritium and strontium into underground lakes from 1974 to 2005.",0
7/17/1984,"Sellafield, UK",33.4,3,1.8,WE,A solvent fire in Building B241 effluent treatment plant sludge tank was caused by hot metal from burning operations,0
7/16/1979,"Sellafield, UK",30,3,1.9,WE,A fire of magnox swarf and uranium took place in a remote decanning cave in Building B30,0
12/24/2006,"Jadugoda, India",28.9,,,A,One of the pipes carrying radioactive waste from the Jadugoda uranium mill  ruptured and distributed radioactive materials more than 100 square kilometers.,0
6/9/1985,"Oak Harbor, Ohio, United States",26.8,,,NA,"Loss of feedwater provoked Toledo Edison Company to inspect Davis-Besse facility, where inspectors discovered corroded reactor coolant pumps and shafts .",0
1/3/1961,"Idaho Falls, Idaho, United States",25.7,4,2.9,NA,Explosion at National Reactor Testing Station,3
1/21/1969,"Lucens, Canton of Vaud, Switzerland",25.7,5,,WE,Coolant system malfunctioned at underground experimental reactor.,0
3/28/1979,"Loir-et-Cher, France",25.7,4,,WE,A malfunctioning cooling system fused fuel elements together at the Saint Laurent A2 reactor and ruined the fuel assembly and forced an extended shutdown.,0
6/13/1984,"Platteville, Colorado, United States",25.7,,,NA,Moisture intrusion caused 6 fuel rods to fail at Fort St. Vrain nuclear plant and required emergency shutdown from Public Service Company of Colorado.,0
7/15/2013,"Shimen, Taiwan",23.5,,,A,Typhoon Soulik damaged the Jinshan Nuclear Power Plant by tripping the generator and destroying transmission lines which lead to shutdown and detection of radiation leaks.,0
4/18/1984,"Delta, Pennsylvania, United States",20.3,,,NA,Philadelphia Electric Company shut down Peach Bottom Unit 2 to due to extensive recirculation system and equipment damage.,0
6/10/1977,"Waterford, Connecticut, United States",17.1,,,NA,Hydrogen gas explosion damaged three buildings and forced shutdown of Millstone-1 Pressurized Water Reactor.,0
8/11/2014,"Lancashire, United Kingdom",17,,,WE,Corrosion and defects found in the boiler units of Heysham 1 and Hartlepool forced four reactors offline for 8 weeks for repairs.,0
5/1/1969,"Stockholm, Sweden",16.1,,,WE,Malfunction of valve caused flooding in Agesta pressurized heavy water nuclear reactor.,0
3/5/1989,"Tonopah, Arizona, United States",16.1,,,NA,Atmospheric dump valves failed at Arizona Public Service Company’s Palo Verde Unit 1 and led to main transformer fire and emergency shut down.,0
11/24/1989,"Greifswald, Germany (Lubmin)",15.5,,,WE,Three out of six cooling water pumps were switched off for a test. A fourth pump broke down and control of the reactor was lost; ten fuel elements were damaged,0
11/5/1975,"Brownsville, Nebraska, United States",15,,,NA,Hydrogen gas explosion damaged the Cooper Nuclear Facility’s Boiling Water Reactor and an auxiliary building.,0
12/17/1987,"Hesse, Germany",15,1,,WE,Stop valve failed at Biblis Nuclear Power plant and contaminated local area.,0
2/4/1979,"Surry, Virginia, United States",13.9,,,NA,Virginia Electric Power Company manually shut down Surry Unit 2 in response to failed tube bundles in steam generators.,0
5/16/2004,"Lorraine, France",13.9,1,,WE,Sub-standard electrical cables at the Cattenon-2 nuclear reactor caused a fire in an electricity funnel that damaged safety systems.,0
10/9/1989,"Hadden Neck, Connecticut, USA",12.9,,,NA,480 fuel rods were damaged during the operating cycle by metal chips present in the coolant system,0
9/12/1979,"Mihama, Japan",12.8,,,A,Fuel rods at the Mihama Nuclear Power Plant unexpectedly bowed and damaged the fuel supply system.,0
9/9/1997,"Bridgman, Michigan, United States",12.8,,,NA,Ice condenser containment systems failed at Indiana Michigan Power Company’s D.C. Cook Units 1 and 2.,0
9/12/2011,"Marcoule, France",12.8,,,WE,Marcoule Centraco nuclear waste site's oven used to melt radioactive waste exploded and killed one person and burned four others.,1
4/5/2012,"Dieppe, France",12.8,1,,WE,Leaking oil from a reactor pump caught fire and forced an emergency shutdown of the number 2 reactor of EDF's Penly Nuclear Power Plant.,0
8/11/1973,"Palisades, Michigan, United States",11.8,,,NA,Steam generator leak caused manual shutdown of pressurized water reactor operated by the Consumers Power Company.,0
6/18/1982,"Senaca, South Carolina, United States",11.8,,,NA,Feedwater heat extraction line failed at Oconee 2 Pressurized Water Reactor and damaged the thermal cooling system.,0
1/15/2003,"Bridgman, Michigan, United States",11.8,,,NA,A fault in the main transformer at the Donald C. Cook nuclear power plant caused a fire that damaged the main generator and backup turbines.,0
6/28/2005,"Forsmark, Sweden",11.8,2,,WE,Repair work on electric arc shorted out a circuit and caused the Forsmark-1 reactor to shutdown and disconnected from the grid and forced a three-week outage.,0
6/4/2008,"Ljubljana, Slovenia",11.8,,,EE,Regulators shut down the Krsko nuclear power plant after the primary cooling system malfunctioned and coolant spilled into the reactor core.,0
7/4/2008,"Ayrshire and Suffolk, United Kingdom",11.8,,,WE,British Energy nuclear reactors (the Largs and the Sizewell B facilities) shutdown after cooling units malfunctioned and damaged emergency systems and triggered blackouts.,0
2/6/1975,"Leningrad, Russia",11.4,4,,EE,"The secondary cooling circuit of Unit 1 ruptured, releasing contaminated water into the environment",3
6/14/1985,"Lima, Buenos Aires, Argentina",11.2,,,SA,"Excessive local power in the core caused 46 fuel rods to fail, releasing fuel pellets into the reactor coolant system",0
9/10/1988,"Surry, Virginia, United States",10.7,,,NA,Refueling cavity seal failed and destroyed internal pipe system at Virginia Electric Power Company’s Surry Unit 2 and forced a 12 month outage.,0
8/9/2004,"Fukui Prefecture, Japan",10.7,1,,A,Steam explosion at Mihama Nuclear Power Plant killed 5 workers and injures dozens.,5
10/1/1981,"Sellafield, UK",9,3,1.3,WE,Inadvertent reprocessing of fuel from Oldbury Power Station had only been cooled for 27 days leads to iodine release,0
5/25/1999,"Waterford, Connecticut, United States",8.6,,,NA,Steam leak in feedwater heater caused manual shutdown and damaged control board annunicator at the Millstone Nuclear Power Plant.,0
7/13/2008,"Tricastin, France",8.6,1,,WE,The nuclear power operator Areva reported that dozens of liters of wastewater contaminated with uranium were accidentally poured on the ground and ran into river.,0
2/14/2014,"Waste Isolation Pilot Plant, New Mexico",8.2,,,NA,"Mine fire occured at salt hauling truck and required evacuation of the entire facility, extensive cleanup, and hospitalization of six workers for smoke inhalation and radiation exposure.",0
11/22/1988,"Pickering, Ontario, Canada",6.6,,,NA,Xenon buildup causes damage to 191 fuel rods,0
1/20/1965,"Lawrence Livermore, CA, USA",6.1,4,3.7,NA,"Roughly 350,000 Ci were released from a stack in building 331",0
3/25/1988,"Pickering, Ontario, Canada",5.5,,,NA,"Fuel rod failures caused reactor power to be limited to 50 percent for the remaining six months of the fuel cycle.On November 22, 1988, an operator error damaged 36 fuel bundles. The cooling system was
contaminated by radioactive iodine that was vented into the environment over several weeks
following the accident.",0
7/25/1979,"Saclay, France",5.4,,,WE,"Radioactive fluids escaped into drains designed for ordinary wastes, seeping into the local watershed at the Saclay BL3 Reactor.",0
5/22/1986,"Normandy, France",5.4,,,WE,A reprocessing plant at Le Hague malfunctioned and exposed workers to unsafe levels of radiation.,0
11/17/1991,"Scriba, New York, United States",5.4,,,NA,Safety and fire problems forced New York Power Authority to shut down the FitzPatrick nuclear reactor for 13 months.,0
10/31/1974,"Morris, Grundy County, Illinois, USA",4.4,,,NA,Dresden nuclear power plant suffers a xenon transient and minor release of radioactivity,0
12/10/1983,"Plymouth, Massachusetts, United States",4.3,,,NA,Recirculation system piping cracked and forced Pilgrim nuclear reactor to shutdown.,0
6/21/2013,"Wanli, Taiwan",4.3,,,A,Air dampener at the Kuosheng Nuclear Power Plant fell into the busbar and tripped the reactor and caused a shutdown.,0
9/26/1983,"Russellville, Pope County, Arkansas, USA",4.1,,,NA,"Control rod misalignment results in xenon oscillations, damaging the fuel and increasing gaseous activity",0
12/1/2009,"Cruas-Meysse 4, France",4,2,,WE,"Vegetation blocked the intake of the cooling system, forcing shutdown and repairs",0
12/18/1985,"Lacey and Ocean Townships, Ocean County, New Jersey, USA",3.8,,,NA,Malfunctioning computer causes fuel rod failures and increased levels of gaseous activity,0
3/8/1981,"Tsuruga, Japan",3.2,2,,A,278 workers were exposed to excessive levels of radiation during repair of Tsuruga nuclear plant.,0
2/3/1993,"Bay City, Texas, United States",3.2,,,NA,Auxiliary feedwater pumps failed at South Texas Project Units 1 and 2 and required rapid shutdown of both reactors.,0
3/2/1993,"Soddy-Daisy, Tennessee, United States",3.2,,,NA,Equipment failures and broken pipes caused Tennessee Valley Authority to shut down Sequoyah Unit 1.,0
2/24/2006,"Rock River, Illinois",3.2,,,NA,Small fire spreads at Byron Nuclear Generating Station and destroys Refueling Water Storage Tank,0
3/12/2012,"Wanli, Taiwan",3.2,,,A,Maintenance workers at the Kuosheng Nuclear Power Plant discovered cracked anchor bolts that forced a 3 day shutdown.,0
12/9/1986,"Surry, Virginia, United States",2.8,,,NA,Steam explosion in Unit 2 cases deadliest accident (fatalities) in US history,4
3/9/1983,"Gravel Neck, Surry County, Virginia, USA",2.2,,,NA,Fuel rods were discovered damaged due to metal chips that had been left in the reactor coolant system,0
2/11/1981,"Florida City, Florida, United States",2.1,,,NA,Florida Light & Power manually shut down Turkey Point Unit 3 after steam generator tubes degraded and failed.,0
4/14/1984,"Bugey, France",2.1,,,WE,Electrical cables failed at the command centre of the Bugey nuclear power plant and forced a complete shutdown of one reactor.,0
4/21/1992,"Southport, North Carolina, United States",2.1,,,NA,NRC forced Carolina Power & Light Company to shut down Brunswick Units 1 and 2 after emergency diesel generators failed.,0
5/13/1992,"Tarapur, Maharashtra, India",2.1,,,A,A malfunctioning tube caused the Tarapur nuclear reactor to release 12 curies of radioactivity.,0
2/27/1993,"Buchanan, New York, United States",2.1,,,NA,New York Power Authority shut down Indian Point Unit 3 after AMSAC system fails.,0
9/29/1999,"Lower Alloways Creek, New Jersey, United States",2.1,,,NA,Freon leak at Hope Creek Nuclear Facility caused ventilation train chiller to trip that released toxic gas and damaged the cooling system.,0
7/18/2007,"Kashiwazaki, Japan",2.1,,,A,"The Tokyo Electric Power Company's  Kariwa nuclear plant damaged by a 6.8 magnitude earthquake leaked 1,192 litres of radioactive water into the Sea of Japan.",0
8/12/2009,"Gravelines, France",2.1,1,,WE,Assembly system failed to properly eject spent fuel rods from the Gravelines Nuclear Power Plant and caused the fuel rods to jam and the reactor to shutdown.,0
1/30/2012,"Rock River, Illinois",2.1,,,NA,Switchyard component failure and transformer fire at Exelon's Byron Generating Station's Unit 2 caused shutdown and tritium steam release to prevent a meltdown.,0
7/27/1972,"Surry, Virginia, United States",1.2,,,NA,Two deaths in steam line rupture and accident,2
7/16/1971,"Cordova, Illinois, United States",1.1,,,NA,An electrician was electrocuted by a live cable at the Quad Cities Unit 1 reactor on the Mississippi River.,1
9/20/1981,"Baxley, Appling County, Georgia, USA",1.1,,,NA,Fuel rod failures caused air ejector activity to rise to 0.3 Ci per second,0
2/26/1982,"San Clemente, California, United States",1.1,,,NA,Southern California Company shut down San Onofre Unit 1 because of earthquake concerns.,0
5/21/1946,"Los Alamos, New Mexico",0,,,NA,Death due to citicality accident at Los Alamos National Laboratory.,1
4/13/1958,"Chelyabinsk, Soviet Union",0,,,EE,Three died and one was injured in a super criticality accident at USSR Mayak Complex.,3
10/15/1958,"Vinca, Yugoslavia",0,4,,EE,Death due to citicality accident at Boris Kidrich Institute.,1
12/30/1958,"Los Alamos, New Mexico",0,,,NA,Death due to citicality accident at Los Alamos National Laboratory.,1
7/23/1964,"Rhode Island, United States",0,4,,NA,Operator death due to super critical accident at Wood River Junction Chemical Process Plant,1
4/5/1968,"Chelyabinsk, Soviet Union",0,5,5,EE,Technician died from exposure after initiating test at Russian Federal Nuclear Centre.,1
2/11/1971,"Moscow, Russia",0,4,,EE,Supervisor died after criticality accident at the Kurchatov Institute,1
1/5/1976,"Jaslovske Bohunice, Czechoslovakia",0,,,EE,Leaked carbon dioxide from a KS 150’s reactor coolant system at the Bohunice Nuclear Power Plant fatally suffocated two workers.,2
9/1/1980,"Leningrad, Russia",0,,,EE,Operator at gamma irradiation facility died from exposure.,1
11/22/1980,"San Onofre, California, United States",0,,,NA,Worker cleaning breaker cubicles at San Onofre Pressurized Water Reactor contacted an energized line and was killed by electrocution.,1
9/23/1983,"Buenos Aires, Argentina",0,,,SA,Operator death due to criticality accident at the Constituyentes Atomic Centre,1
3/29/1988,"Burlington, Kansas, United States",0,,,NA,Safety inspector died from electrocution after contacting a mislabeled wire at the Wolf Creek Nuclear Power Plant.,1
6/17/1997,"Nizhny Novgorod, Russia",0,,,EE,Technican died from criticality incident at Arzamas-16 Nuclear Centre,1
3/15/2009,"Oskarshamn, Sweden",0,,,WE,A maintenance worker repairing a shutdown reactor at the Oskarshamn died after falling from the top of the turbine hall.,1
6/18/1988,Belgium,,,,WE,"Tihange-1 (Belgium) (see 9.2.2.1)
On 18 June 1988, while the pressurized water reactor was operating, a sudden leak
occurred in a short, unisolable section of emergency core cooling system (ECCS) piping. The leak
rate was in the order of 1,300 liters per hour. The source of leakage was a crack – 9 cm long on the
inside surface of the pipe and 4.5 cm long on the outside surface – extending through the wall of
the piping. The risk of a pipe rupture in the emergency core cooling system is considerable if the
emergency safety injection system is activated as large quantities of cooling water are injected in
case of a loss of coolant accident in an already degraded safety situation.",0
2/9/1991,Japan,,,,A,"Mihama-2 (Japan) (see 9.2.2.3)
A steam generator tube rupture occurred at Mihama-2 pressurized water reactor. This was
the first such incident in Japan where the emergency core cooling system was actuated. The utility
investigated the rupture and found that it was a complete circumferential tube failure. The utility
found that the failure due to high cycle fatigue caused by vibration. By design, all tubes in specific
locations in the steam generator are supposed to be supported by anti-vibration bars. However, the
subject tube was found not to be supported appropriately because of a reported ""incorrect
insertion"" of the adjacent anti-vibration bars.",0
4/3/1991,USA,,,,NA,"3 April 1991 Shearon Harris (USA) (see 9.2.1.1)
On 3 April 1991 workers at the Shearon Harris pressurized water reactor in New Hill,
North Carolina discovered damaged piping and valves within the alternate minimum flow system
provided for the pumps in the emergency core cooling system. The piping and valve damage was
serious, had an accident occurred the water needed to cool the reactor core would have instead
poured out onto the floor through the ends of broken components. The NRC calculated the severe
core damage risk from this event to be 6 x 10-3 or 0.6% per reactor year. The event was not rated
on the IAEA INES scale.",0
